-04:17:04|-04:06:58
-03:30:54|-03:26:01
-03:05:24|-03:04:11
-02:40:50|-02:37:03
-01:21:00|-01:09:54
-01:07:34|-00:59:38
-00:56:01|000:00:00
000:00:00|000:19:23
000:25:59|000:27:39
000:34:19|000:34:46
000:35:59|000:36:29
000:37:07|000:38:15
000:41:04|000:41:35
001:03:09|001:05:06
001:07:41|001:07:58
001:08:20|001:08:32
001:09:18|001:09:27
001:09:45|001:10:01
001:10:27|001:10:36
001:27:08|001:28:45
001:31:59|001:32:40
001:45:31|001:46:00
002:31:16|002:31:24
002:32:48|002:33:08
002:33:19|002:33:27
002:33:29|002:33:49
002:33:52|002:34:08
002:34:15|002:34:23
002:34:26|002:34:37
002:37:19|002:37:40
002:37:43|002:38:09
002:38:14|002:38:37
002:39:19|002:39:21
002:44:56|002:45:35
002:45:54|002:46:07
002:46:25|002:46:35
002:46:42|002:46:54
002:47:10|002:47:44
002:50:03|002:50:18
002:50:25|002:50:35
002:51:05|002:51:20
002:51:41|002:51:53
002:53:53|002:54:23
003:21:01|003:26:23
005:54:02|005:54:22
005:55:23|005:55:43
005:56:00|005:56:20
005:56:31|005:56:45
005:56:57|005:57:47
005:57:54|005:58:38
006:09:14|006:09:39
006:09:44|006:11:12
006:16:49|006:17:16
006:19:22|006:19:30
006:21:13|006:21:27
006:21:30|006:21:38
006:21:52|006:21:58
010:33:31|010:51:39
026:22:14|026:25:16
030:29:15|030:36:05
030:47:54|030:54:33
030:57:07|030:57:27
030:58:16|031:04:25
031:04:27|031:04:37
031:10:31|031:14:49
031:54:53|031:55:07
031:55:11|031:55:18
031:55:33|031:55:38
031:55:41|031:55:47
031:56:15|031:57:36
031:59:07|031:59:12
031:59:17|031:59:45
032:00:20|032:00:59
033:44:52|033:50:24
033:59:10|033:59:26
033:59:46|034:35:10
